Fold,Hidden Layers,Lambda,Accuracy,F1 Score
Fold 1-H1-L1,"[8, 6]",0.25,0.8849557522123894,0.9161290322580644
Fold 2-H1-L1,"[8, 6]",0.25,0.9292035398230089,0.9459459459459459
Fold 3-H1-L1,"[8, 6]",0.25,0.9565217391304348,0.9659863945578231
Fold 4-H1-L1,"[8, 6]",0.25,0.911504424778761,0.9342105263157895
Fold 5-H1-L1,"[8, 6]",0.25,0.9826086956521739,0.9861111111111112
Fold 1-H1-L2,"[8, 6]",10.0,0.6283185840707964,0.7717391304347826
Fold 2-H1-L2,"[8, 6]",10.0,0.6283185840707964,0.7717391304347826
Fold 3-H1-L2,"[8, 6]",10.0,0.6260869565217392,0.770053475935829
Fold 4-H1-L2,"[8, 6]",10.0,0.6283185840707964,0.7717391304347826
Fold 5-H1-L2,"[8, 6]",10.0,0.6260869565217392,0.770053475935829
Fold 1-H2-L1,"[10, 10, 10]",0.25,0.6283185840707964,0.7717391304347826
Fold 2-H2-L1,"[10, 10, 10]",0.25,0.6283185840707964,0.7717391304347826
Fold 3-H2-L1,"[10, 10, 10]",0.25,0.6260869565217392,0.770053475935829
Fold 4-H2-L1,"[10, 10, 10]",0.25,0.6283185840707964,0.7717391304347826
Fold 5-H2-L1,"[10, 10, 10]",0.25,0.6260869565217392,0.770053475935829
Fold 1-H2-L2,"[10, 10, 10]",10.0,0.6283185840707964,0.7717391304347826
Fold 2-H2-L2,"[10, 10, 10]",10.0,0.6283185840707964,0.7717391304347826
Fold 3-H2-L2,"[10, 10, 10]",10.0,0.6260869565217392,0.770053475935829
Fold 4-H2-L2,"[10, 10, 10]",10.0,0.6283185840707964,0.7717391304347826
Fold 5-H2-L2,"[10, 10, 10]",10.0,0.6260869565217392,0.770053475935829
